"","CITY","PROPERTY.TYPE","PRICE","BEDS","BATHS","SQUARE.FEET","LOT.SIZE","YEAR.BUILT","X..SQUARE.FEET","State","Violent.Crimes","Murder.and.Non.Negligent.Manslaughter","Rape","Robbery","Aggravated.Assault"
"661","Dallas","Single Family Residential",129000,3,1,1218,4443,1999,106,"Texas",8457,116,781,3856,3704
"662","Dallas","Single Family Residential",115000,3,1,1590,11108,1950,72,"Texas",8457,116,781,3856,3704
"663","Dallas","Condo/Co-op",63000,1,1,748,241279,1982,84,"Texas",8457,116,781,3856,3704
"664","Dallas","Townhouse",159000,3,3,1905,2614,1978,83,"Texas",8457,116,781,3856,3704
"665","Dallas","Townhouse",485000,3,3.5,2420,3703,2006,200,"Texas",8457,116,781,3856,3704
"667","Dallas","Single Family Residential",152900,3,2,1741,5489,2006,88,"Texas",8457,116,781,3856,3704
"668","Dallas","Condo/Co-op",55000,1,1,662,383938,1983,83,"Texas",8457,116,781,3856,3704
"669","Dallas","Single Family Residential",69900,3,1,971,7405,1958,72,"Texas",8457,116,781,3856,3704
"670","Dallas","Single Family Residential",99000,3,1,1161,10846,1954,85,"Texas",8457,116,781,3856,3704
"671","Dallas","Townhouse",175000,3,2.5,1636,2134,1983,107,"Texas",8457,116,781,3856,3704
"672","Dallas","Single Family Residential",345000,3,2.5,2434,10019,1984,142,"Texas",8457,116,781,3856,3704
"673","Dallas","Condo/Co-op",125000,1,1,845,129635,1981,148,"Texas",8457,116,781,3856,3704
"674","Dallas","Condo/Co-op",139000,2,2,1015,203382,1982,137,"Texas",8457,116,781,3856,3704
"675","Dallas","Single Family Residential",399000,4,3,2828,9583,1978,141,"Texas",8457,116,781,3856,3704
"676","Dallas","Single Family Residential",589000,3,2,1730,8059,1951,340,"Texas",8457,116,781,3856,3704
"677","Dallas","Single Family Residential",156000,3,2,1150,5489,2006,136,"Texas",8457,116,781,3856,3704
"678","Dallas","Single Family Residential",339900,3,1,1066,7362,1951,319,"Texas",8457,116,781,3856,3704
"679","Dallas","Single Family Residential",130000,3,1.5,1228,7536,1955,106,"Texas",8457,116,781,3856,3704
"680","Dallas","Condo/Co-op",119900,1,1.5,825,130680,1982,145,"Texas",8457,116,781,3856,3704
"681","Dallas","Single Family Residential",860000,3,3,3497,6578,1983,246,"Texas",8457,116,781,3856,3704
"683","Dallas","Single Family Residential",599000,3,3,3745,5663,1987,160,"Texas",8457,116,781,3856,3704
"684","Dallas","Single Family Residential",499900,3,2,1826,7231,1925,274,"Texas",8457,116,781,3856,3704
"685","Dallas","Single Family Residential",219900,4,2.5,2929,6621,2005,75,"Texas",8457,116,781,3856,3704
"686","Dallas","Single Family Residential",210000,3,2,1510,8276,1983,139,"Texas",8457,116,781,3856,3704
"687","Dallas","Single Family Residential",1495000,5,5,5459,12937,2009,274,"Texas",8457,116,781,3856,3704
"689","Dallas","Single Family Residential",170000,3,2,1169,5184,2008,145,"Texas",8457,116,781,3856,3704
"690","Dallas","Townhouse",160000,3,2.5,1852,2483,1974,86,"Texas",8457,116,781,3856,3704
"691","Dallas","Single Family Residential",449000,4,3.5,3409,37941,1954,132,"Texas",8457,116,781,3856,3704
"692","Dallas","Single Family Residential",299000,4,2.5,2349,9409,1969,127,"Texas",8457,116,781,3856,3704
"693","Dallas","Single Family Residential",71000,3,1,957,7492,1959,74,"Texas",8457,116,781,3856,3704
"694","Dallas","Single Family Residential",727400,4,3.5,3718,11761,1982,196,"Texas",8457,116,781,3856,3704
"695","Dallas","Single Family Residential",118000,3,1.5,1260,5401,2003,94,"Texas",8457,116,781,3856,3704
"696","Dallas","Single Family Residential",567000,4,2,2390,9365,1963,237,"Texas",8457,116,781,3856,3704
"697","Dallas","Condo/Co-op",419500,2,2,1643,97095,1966,255,"Texas",8457,116,781,3856,3704
"698","Dallas","Single Family Residential",388888,3,2.5,1930,4051,1987,201,"Texas",8457,116,781,3856,3704
"699","Dallas","Single Family Residential",489000,3,2,2341,9932,1964,209,"Texas",8457,116,781,3856,3704
"700","Dallas","Single Family Residential",399000,4,2.5,2517,9453,1970,159,"Texas",8457,116,781,3856,3704
"701","Dallas","Condo/Co-op",349900,2,2.5,1505,30928,1997,232,"Texas",8457,116,781,3856,3704
"702","Dallas","Single Family Residential",350000,3,2,2006,10149,1971,174,"Texas",8457,116,781,3856,3704
"703","Dallas","Single Family Residential",120000,2,1,1200,12197,1952,100,"Texas",8457,116,781,3856,3704
"704","Dallas","Condo/Co-op",112000,2,2,990,169448,1983,113,"Texas",8457,116,781,3856,3704
"706","Dallas","Single Family Residential",399000,3,2,1342,8146,1952,297,"Texas",8457,116,781,3856,3704
"707","Dallas","Single Family Residential",674900,4,3.5,3534,25657,1963,191,"Texas",8457,116,781,3856,3704
"708","Dallas","Single Family Residential",127000,3,2,1276,5053,2004,100,"Texas",8457,116,781,3856,3704
"709","Dallas","Single Family Residential",257000,4,2.5,2694,4443,1990,95,"Texas",8457,116,781,3856,3704
"710","Dallas","Single Family Residential",195000,3,2.5,2548,21780,2005,77,"Texas",8457,116,781,3856,3704
"711","Dallas","Condo/Co-op",95500,1,1,575,43560,1985,166,"Texas",8457,116,781,3856,3704
"712","Dallas","Single Family Residential",514900,4,3,2650,7884,1977,194,"Texas",8457,116,781,3856,3704
"713","Dallas","Single Family Residential",252500,3,2,1414,12110,1957,179,"Texas",8457,116,781,3856,3704
"714","Dallas","Single Family Residential",99000,3,2,1516,6926,1959,65,"Texas",8457,116,781,3856,3704
"715","Dallas","Single Family Residential",80000,2,1.5,1045,10193,1961,77,"Texas",8457,116,781,3856,3704
"717","Dallas","Single Family Residential",142900,3,2,1334,7405,1923,107,"Texas",8457,116,781,3856,3704
"718","Dallas","Townhouse",135000,2,2,1148,2962,1969,118,"Texas",8457,116,781,3856,3704
"719","Dallas","Single Family Residential",200000,2,2,1083,4792,1983,185,"Texas",8457,116,781,3856,3704
"720","Dallas","Single Family Residential",225000,3,2,1604,5009,1980,140,"Texas",8457,116,781,3856,3704
"721","Dallas","Single Family Residential",399000,3,2.5,2627,6360,1991,152,"Texas",8457,116,781,3856,3704
